Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source
5.1.3,,,,,3,inclusive and people-centered approach,"An inclusive and people-centered approach prioritizes the needs, perspectives, and participation of individuals and communities in decision-making processes, ensuring that diverse voices are heard and valued.",Renewable Energy and Sustainability Report 2023,,https://www.ren21.net/renewable-energy-and-sustainability-report-2023/,WEF
5.2.1,Political Economy and Energy Governance,Policy and Regulatory Frameworks for a Just Energy Transition,Energy Governance for a Just Energy Transition,"This lesson examines how political and economic factors shape energy governance, emphasizing the need for political economy analysis (PEA) and Institutional and Context Analysis (ICA) to navigate challenges and advance just energy transitions.",1,institutional and context analysis (ica),"Institutional and Context Analysis (ICA) is a systematic approach used to understand the structures, processes, and relationships within institutions and their surrounding environments, focusing on how these factors influence policies, practices, and outcomes.",Green Public Procurement: Catalysing the Net Zero Economy,,https://www.weforum.org/whitepapers/green-public-procurement-catalysing-the-net-zero-economy,WEF
5.2.1,,,,,2,political economy of energy transition,"The political economy of energy transition refers to the study of how political, economic, and social factors influence the shift from fossil fuel-based energy systems to renewable energy sources, including the impacts on power dynamics, policy-making, and economic structures.",Scaling Up Investments in Ocean Energy Technologies,,https://www.iea.org/reports/securing-clean-energy-technology-supply-chains,World Bank
5.2.1,,,,,3,,,Making the Hydrogen Economy Possible: Accelerating Clean Hydrogen in an Electrified Economy,,https://www.energy-transitions.org/publications/making-clean-hydrogen-possible/,Energy Transition Commission
5.2.2,Policy Coherence,Policy and Regulatory Frameworks for a Just Energy Transition,Energy Governance for a Just Energy Transition,"This lesson discusses the significance of  policy coherence to align policies across sectors to prevent conflicts and maximize synergies, exploring key pillars—including institutional capacity, partnerships, data analysis, and coordination mechanisms—that enhance effective governance for sustainable energy transitions.",1,institutional capacity,"Institutional capacity refers to the ability of an organization or institution to effectively manage resources, implement policies, and achieve its goals, often involving skills, processes, and structures.","Decarbonization, Energy Policy, Net-Zero Pathways",,https://www.irena.org/Publications/2023/Jun/World-Energy-Transitions-Outlook-2023,IRENA
5.2.2,,,,,2,participatory processes,"Participatory processes are methods that actively involve stakeholders, such as community members or organizations, in decision-making and planning activities to ensure their voices and perspectives are considered.",How Energy Modeling Works. The Uses and Limitations of Energy. Modeling for Decarbonization Planning,,https://www.esmap.org/grid-integration-requirements-for-variable-renewable-energy,UNEP
5.2.2,,,,,3,,,The Evolution of Energy Efficiency Policy to Support Clean Energy Transitions,,https://www.iea.org/reports/the-evolution-of-energy-efficiency-policy-to-support-clean-energy-transitions,IEA
5.2.3,Strategic Foresight for Energy Governance,Policy and Regulatory Frameworks for a Just Energy Transition,Energy Governance for a Just Energy Transition,"This lesson explores strategic foresight as a tool for anticipating future energy challenges and opportunities, utilizing methodologies like horizon scanning, scenario planning, and backcasting to enhance risk management, policy flexibility, and investment strategies for resilient and adaptive energy transitions.",1,resource allocation,"Resource allocation is the process of distributing available resources, such as time, money, and materials, among various projects or departments to achieve specific goals efficiently.",A Survey of International Activities in Energy Access and Electrification,,https://www.irena.org/Publications/2022/May/Innovation-Outlook-Renewable-Ammonia,Clean Aviation
5.2.3,,,,,2,risk management,"The process of identifying, assessing, and prioritizing risks followed by coordinated efforts to minimize, monitor, and control the probability or impact of unfortunate events.",Clean Energy Transitions Programme 2021,,https://www.iea.org/reports/clean-energy-transitions-programme-2021,IEA
5.2.3,,,,,3,,,Tracking SDG7: The Energy Progress Report 2022,,https://www.esmap.org/esmap_Tracking_SDG7_The_Energy_Progress_Report_2022,ESMSP
5.2.4,Adaptive Policies and Regulations,Policy and Regulatory Frameworks for a Just Energy Transition,Energy Governance for a Just Energy Transition,"This lesson explores how adaptive policies and regulations ensure flexibility, resilience, and effectiveness in energy governance by incorporating continuous monitoring, stakeholder engagement, innovation incentives, and Regulatory Impact Assessment (RIA) to respond to evolving challenges.",1,adaptive policies,"Adaptive policies are flexible strategies that can be adjusted over time in response to changing conditions, new information, or unexpected challenges, particularly in the context of environmental management and sustainability.",Grid Integration Requirements for Variable Renewable Energy,,https://www.esmap.org/grid-integration-requirements-for-variable-renewable-energy,ESMAP
5.2.4,,,,,2,regulatory impact assessment√™(ria,"Regulatory Impact Assessment (RIA) is a systematic process used to evaluate the potential effects of proposed regulations, including their economic, social, and environmental impacts, to ensure informed decision-making.",Grid Codes for Renewable-Powered Systems,,https://www.irena.org/Publications/2022/Apr/Grid-codes-for-renewable-powered-systems,IRENA
5.2.4,,,,,3,regulatory sandboxes,"Regulatory sandboxes are controlled environments set up by regulators that allow businesses, especially startups, to test innovative products, services, or business models with reduced regulatory requirements and oversight.","As Use of A.I. Soars, So Does the Energy and Water It Requires",,https://e360.yale.edu/features/artificial-intelligence-climate-energy-emissions,Yale School of the Environment
5.3.1,Integrated Governance for a Just Energy Transition,Inclusive and Effective Institutions,Energy Governance for a Just Energy Transition,"This lesson explores the transition from centralized, state-led energy management to decentralized, multi-stakeholder governance, emphasizing collaboration across governments, regulatory bodies, private sector actors, and civil society to ensure transparent, inclusive, and adaptive energy transitions.",1,whole-of-government approach,"A whole-of-government approach is a coordinated strategy where multiple government agencies work together to address complex issues, ensuring that policies and actions are aligned and integrated across different sectors.",Unsustainable Mining: The Achilles' Heel of the Global Energy Transition,,https://www.carbontrust.com/en-eu/news-and-insights/insights/unsustainable-mining-will-be-the-achilles-heel-of-the-global-energy-transition,Grantham Research Institute
5.3.1,,,,,2,whole-of-society approach,"A whole-of-society approach is a collaborative strategy that involves all sectors of society, including government, businesses, communities, and individuals, working together to address complex issues and achieve common goals, particularly in areas like sustainability and social development.","At the Current Pace, Only 23% of the Sustainable Development Goal Targets Will Be Achieved by 2030 in Latin America and the Caribbean",,https://www.irena.org/Publications/2022/Sep/Solar-PV-Gender-Perspective,IRENA
5.3.1,,,,,3,,,Innovation Outlook: Renewable Ammonia,,https://www.irena.org/Technical-Papers/Potential-Limitations-of-Marginal-Pricing-for-a-Power-System-Based-on-Renewables,IRENA
5.3.2,Civic Engagements And Its Role in Energy Governance,Civic Engagement and Empowerment,Energy Governance for a Just Energy Transition,"This lesson explores the role of civic engagement in energy governance, highlighting how participatory decision-making, energy democracy, and community-driven initiatives enhance transparency, accountability, and public trust while fostering localized solutions and equitable energy transitions.",1,corruption risks in energy transition,"Corruption risks in energy transition refer to the potential for unethical practices, fraud, or misuse of power that can occur during the shift from fossil fuels to renewable energy sources, impacting investment, policy-making, and project implementation.",Renewable Technology Innovation Indicators,,https://www.ruralelec.org/publication/position-paper-off-grid-renewable-energies-to-achieve-sdg-7-and-sdg-13-cheaper-cleaner-and-smarter/,IRENA
5.3.2,,,,,2,open and transparent institutions,"Open and transparent institutions are organizations or entities that operate in a way that is accessible to the public, providing clear information about their processes, decisions, and activities, thereby promoting accountability and trust.",Asia-Pacific Progress in Sustainable Energy,,https://rmi.org/insight/making-the-clean-energy-transition-affordable/,Clean Energy States Alliance
5.3.2,,,,,3,,,Public Finance For Universal Energy Access,,https://trackingsdg7.esmap.org/data/files/download-documents/asia-pacific_regional_gtf_2017_report.pdf,Clean Energy States Alliance
5.3.3,Facilitating Cooperation with a Heterogeneous Civil Society,Civic Engagement and Empowerment,Energy Governance for a Just Energy Transition,"This lesson explores the mechanisms for effective civic engagement in energy governance to empower diverse civil society actors—local communities, women, youth, and indigenous peoples—in driving a just and sustainable energy transition.",1,,,Global Energy Transformation Guide: Fossil Fuel Transition Strategies,,https://www.irena.org/Publications/2022/Mar/Renewable-Technology-Innovation-Indicators,IEA
5.3.3,,,,,2,,,Scaling Solar Power: 2025 Solar Market Insight Report with Wood Mackenzie,,https://seia.org/research-resources/scaling-solar-power-2025-solar-market-insight-report-with-wood-mackenzie/,Solar Energy Industries Association
5.3.3,,,,,3,,,Tracking SDG7 Progress: The Enery Progress Report 2024,,https://www.irena.org/Publications/2024/Jun/Tracking-SDG-7-The-Energy-Progress-Report-2024,IRENA
5.4.1,Effective and Independent Oversight,Appropriate and Independent Oversight,Energy Governance for a Just Energy Transition,"This lesson explores the mechanisms of effective oversight in energy governance, emphasizing the role of both internal and external accountability structures  in ensuring transparency, preventing fraud, and strengthening institutional integrity of energy governance ",1,civic engagement,"Civic engagement refers to the active participation of individuals in the political, social, and community activities that influence decision-making and promote the common good.",Renewable Energy and Jobs: Annual Review 2023,,https://investmentpolicy.unctad.org/publications/1283/world-investment-report-2023-investing-in-sustainable-energy-for-all,IRENA
5.4.1,,,,,2,,,Global Energy Perspective 2023: Hydrogen outlook,,https://www.mckinsey.com/industries/oil-and-gas/our-insights/global-energy-perspective-2023-hydrogen-outlook,Mckinsey
5.4.1,,,,,3,,,Reimagining Resource Planning,,https://www.undp.org/sites/g/files/zskgke326/files/publications/Financing_the_2030_Agenda_CO_Guidebook.pdf,IEA
5.4.2,Agile Oversight,Appropriate and Independent Oversight,Energy Governance for a Just Energy Transition,"This lesson explores the mechanisms of agile oversight in energy governance, highlighting its flexibility, responsiveness, and continuous monitoring to adapt to evolving challenges, enhance regulatory efficiency, and integrate innovative tools like AI-driven analytics for real-time decision-making and accountability.",1,effective citizen engagement,"Effective citizen engagement refers to the active participation of individuals in decision-making processes that affect their communities, ensuring that their voices are heard and considered in governance and policy development.",The Cost of Financing for Renewable Power,,https://www.wocan.org/wp-content/uploads/2024/07/CC-Facility_Learning-Hub_Stocktaking-Report.pdf,UNDP
5.4.2,,,,,2,indigenous peoples,"Indigenous peoples are ethnic groups who are the original inhabitants of a region, maintaining distinct cultural, social, and political identities that are often tied to their ancestral lands.",IRENA Energy Transition Support to Strengthen Climate Action 2022,,https://www.irena.org/Publications/2022/Nov/IRENA-energy-transition-support-to-strengthen-climate-action-2022,IRENA
5.4.2,,,,,3,,,UN SDSN Global Climate Hub: Modelling Net Zero Pathways,,https://unsdsn.globalclimatehub.org/wp-content/uploads/2024/01/report_COP28_final_proofread-2.pdf,UN SDSN
5.4.3,Gender Lens Oversight and Gender Audits in the Energy Transition,Appropriate and Independent Oversight,Energy Governance for a Just Energy Transition,"This lesson explores the mechanisms of gender lens oversight in energy governance, emphasizing gender audits, institutional frameworks, and accountability tools to ensure inclusive and equitable energy policies that address diverse social needs and promote gender-responsive decision-making.",1,,,Accelerating Hydrogen Deployment in the G7,,http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,EY
5.4.3,,,,,2,,,Green Hydrogen for Industry,,https://www.cesa.org/wp-content/uploads/How-Energy-Modeling-Works.pdf,ESMSP
5.4.3,,,,,3,,,How Green Innovation Can Stimulate Economies and Curb Emissions,,https://www.imf.org/en/Blogs/Articles/2023/11/06/how-green-innovation-can-stimulate-economies-and-curb-emissions,IMF
6.1.1,The Impact of Energy Systems on Climate Change,Linkages between Energy Systems and Climate Change ,The Climate Change-Energy Nexus ,Examining the environmental and climate change challenges associated with energy systems,1,circular economy,"A circular economy is an economic system aimed at eliminating waste and the continual use of resources by reusing, recycling, and regenerating materials, creating a closed-loop system that minimizes environmental impact.","Critical Transitions: Circularity, equity, and responsibility in the quest for energy transition minerals",,https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition,IEA
6.1.1,,,,,2,climate change scenario analysis,"Climate change scenario analysis is a method used to evaluate potential future impacts of climate change by exploring different possible scenarios based on varying levels of greenhouse gas emissions, policy responses, and socio-economic developments.",Generating Meaningful Energy Systems Models for Africa,,https://issues.org/energy-systems-models-africa-dioha-mutiso/,Issues in Science and Technology
6.1.1,,,,,3,decarbonization,Decarbonization is the process of reducing or eliminating carbon dioxide emissions from energy sources and industrial processes to combat climate change.,Financing Clean Energy in Africa,,https://www.rvo.nl/sites/default/files/2023-08/Dutch-GH2-proposition-for-South-Africa.pdf,IEA
6.1.2,The Impact of Climate Change on Energy Systems,,,Understanding the profound effects of climate change on energy systems ,1,climate risk in the power sector,"Climate risk in the power sector refers to the potential negative impacts of climate change on energy production, distribution, and infrastructure, including extreme weather events, changing temperature patterns, and regulatory changes that can affect the reliability and sustainability of power supply.",IPCCâs Sixth Assessment on Tackling Climate Change,,https://www.carbonbrief.org/in-depth-qa-the-ipccs-sixth-assessment-on-how-to-tackle-climate-change/,Carbon Brief
6.1.2,,,,,2,climate vulnerability,"Climate vulnerability refers to the degree to which a system, community, or individual is susceptible to the adverse effects of climate change, including extreme weather events, rising sea levels, and changing climate patterns.","Reference Data Series No. 1 â Energy, Electricity and Nuclear Power Estimates for the Period up to 2050",,https://www.iea.org/reports/renewables-2022,WEF
6.1.2,,,,,3,energy reliability,"Energy reliability refers to the ability of an energy system to consistently provide power without interruptions or failures, ensuring that electricity is available when needed.",Sharing Knowledge to Transform Energy Systems in Developing Countries,,https://www.cif.org/sites/cif_enc/files/knowledge-documents/gesp_may10_2024.pdf,The Climate Investment Funds
6.2.1,"The Climate, Environmental and Health Benefits of Sustainable Energy ",Sustainable Energy for Climate Mitigation,,Exploring how sustainable energy can help achieve climate targets and enhance public health and economic value ,1,energy and air quality,"Energy and air quality refer to the relationship between energy production and consumption and the impact it has on the cleanliness and health of the air we breathe, including pollutants released from energy sources.",Environmental Sustainability and Energy Development,,http://repositorio.cepal.org/handle/11362/40809,UNEP
6.2.1,,,,,2,land use planning,"Land use planning is the process of evaluating and designating how land in a specific area should be used, balancing development needs with environmental protection and community interests.",Innovation Trends in Electrolysers for Hydrogen Production,,https://cleancooking.org/news/clean-cooking-alliance-releases-2024-annual-report/,RMI
6.2.1,,,,,3,lifecycle ghg emissions,"Lifecycle GHG emissions refer to the total greenhouse gas emissions associated with a product or service throughout its entire lifecycle, including extraction of raw materials, production, transportation, use, and disposal.",Towards a Hydrogen Economy in the UNECE Region,,https://www.iea.org/reports/fossil-fuel-subsidies-in-clean-energy-transitions-time-for-a-new-approach,UNFCCC
6.2.2,Exploring Renewable Technologies for Climate Mitigation,,,Getting to know a diverse set of sustainable energy technologies for emission reduction,1,bioenergy,"Bioenergy is energy derived from organic materials, such as plants and animal waste, which can be converted into fuels or electricity.",Harnessing the Power of Hydrogen,,https://www.undp.org/stories/harnessing-power-hydrogen,UNDP
6.2.2,,,,,2,energy storage,"Energy storage refers to the capture and holding of energy for use at a later time, allowing for the balancing of supply and demand in energy systems.",Renewable Technology Innovation Indicators,,https://www.irena.org/Publications/2022/Mar/Renewable-Technology-Innovation-Indicators,IRENA
6.2.2,,,,,3,hydrogen for development,"Hydrogen for development refers to the use of hydrogen as a clean energy source to support economic growth, enhance energy security, and promote sustainable development, particularly in developing countries.",Renewable Energy Statistics 2023,,https://www.irena.org/Publications/2023/Jul/Renewable-energy-statistics-2023,IRENA
6.3.1,Renewable Energy for Enhancing Climate Resilience,Sustainable Energy for Climate Adaptation,,Learning the ways decentralized renewable energy can support climate adaptation and resilience,1,climate adaptation strategies,"Climate adaptation strategies are actions and plans designed to help communities, ecosystems, and economies adjust to the impacts of climate change, reducing vulnerability and enhancing resilience.",Why Artificial Intelligence is Key to Renewable Energy Grid Resilience,,https://www.weforum.org/agenda/2021/03/artificial-intelligence-is-key-to-grid-resilience/,World Economic Forum
6.3.1,,,,,2,climate-smart agriculture,"Climate-smart agriculture is an approach to farming that aims to increase productivity while adapting to climate change and reducing greenhouse gas emissions. It focuses on sustainable practices that enhance resilience, improve food security, and promote environmental health.",How AI Can Help Power Energy Systems in an Age of Renewables,,https://www.reuters.com/sustainability/climate-energy/how-ai-can-help-power-energy-systems-an-age-renewables-2023-12-18/,Reuters
6.3.1,,,,,3,nature-based solutions,"Nature-based solutions are strategies that use natural processes and ecosystems to address societal challenges, such as climate change, water management, and biodiversity loss, while providing benefits to both people and the environment.",Renewable Energy and Sustainability Report 2023,,https://www.iea.org/reports/advancing-decarbonisation-through-clean-electricity-procurement,ESCAP
6.3.2,Enhancing Resilience and Adaptability of Energy Systems ,,,Examining the strategies to improve energy systems' adaptability to climate change,1,resilient energy storage systems,"Resilient energy storage systems are technologies designed to reliably store energy and provide backup power during outages or disruptions, ensuring a stable energy supply even in adverse conditions.",Energy Transitions Require Innovation in Power System Planning,,https://www.iea.org/articles/energy-transitions-require-innovation-in-power-system-planning,IEA
6.3.2,,,,,2,smart grid optimization,"Smart grid optimization refers to the use of advanced technologies and data analytics to enhance the efficiency, reliability, and sustainability of electricity distribution networks, enabling better management of energy resources and demand.",Why Artificial Intelligence is a Game-Changer for Renewable Energy,,https://www.ey.com/en_uk/power-utilities/why-artificial-intelligence-is-a-game-changer-for-renewable-energy,EY
6.3.2,,,,,3,vulnerability assessment,"A vulnerability assessment is a systematic process used to identify, evaluate, and prioritize potential weaknesses in a system, organization, or community that could be exploited by threats, particularly in the context of environmental, social, or economic risks.",Can renewable energy development facilitate China's sustainable energy transition? Perspective from Energy Trilemma,,https://www.sciencedirect.com/science/article/abs/pii/S0360544224019340,Elsevier
6.3.3,An Intersectional Approach to Climate Change,,,Applying an intersectional lens to the energy transition,1,community-led solutions,"Community-led solutions are initiatives or strategies developed and implemented by local communities to address their own challenges, leveraging local knowledge, resources, and participation to create sustainable and effective outcomes.",Financing for Sustainable Development Report 2022 - Bridging the Finance Divide,,https://sdgs.un.org/sites/default/files/2023-07/Achieving%20Universal%20Access%20by%202030%20and%20Net-Zero%20Emissions%20by%202050%20-%20A%20Global%20Roadmap%20for%20Just%20and%20Inclusive%20Clean%20Cooking%20Transition-072623.pdf?_gl=1*1rosjlz*_ga*MTMxMDE1ODkxMi4xNzIxMjA5NzY0*_ga_TK9BQL5X7Z*MTcyMjQzNTAwNS4yLjEuMTcyMjQzNTA3NS4wLjAuMA..,IEA
6.3.3,,,,,2,indigenous knowledge for climate action,"Indigenous knowledge for climate action refers to the traditional ecological knowledge and practices of Indigenous peoples that contribute to understanding and addressing climate change, emphasizing sustainable resource management, biodiversity conservation, and resilience strategies rooted in cultural heritage.",2023 Policy Briefs in Support of the High-Level Political Forum,,https://www.irena.org/publications/2021/May/Decarbonising-end-use-sectors-green-hydrogen,IRENA
6.3.3,,,,,3,marginalized communities,"Marginalized communities are groups of people who experience social, economic, or political disadvantages, often due to factors like race, ethnicity, gender, sexual orientation, or disability, leading to reduced access to resources and opportunities.",Regional trends report 2024 : energy connectivity for sustainable development in Asia and the Pacific,,http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,International Atomic Energy Agency
6.4.1,Decarbonizing the Industry Sector ,Sustainable Energy Transformation in End-use Sectors ,,Adopting low carbon technologies and Improving efficiency for industrial decarbonization,1,carbon capture and storage,"Carbon capture and storage (CCS) is a technology that captures carbon dioxide emissions from sources like power plants and industrial processes, and stores it underground to prevent it from entering the atmosphere.",Independent Evaluation of Green Climate Fund's Energy Sector Portfolio and Approach,,https://www.iea.org/reports/securing-clean-energy-technology-supply-chains,UNCTAD
6.4.1,,,,,2,energy end-use sectors,"Energy end-use sectors refer to the various categories of activities or industries that consume energy, such as residential, commercial, industrial, and transportation sectors.",Towards a Circular Steel Industry,,https://www.irena.org/Publications/2023/Jul/Towards-a-Circular-Steel-Industry,IRENA
6.4.1,,,,,3,energy productivity,"Energy productivity refers to the amount of economic output generated per unit of energy consumed, indicating how efficiently energy is used in producing goods and services.",Green Hydrogen for Industry,,https://www.irena.org/Publications/2022/Mar/Green-Hydrogen-for-Industry,IRENA
6.4.2,"Sustainable Buildings: Efficiency, Electrification, and Equity ",,,Reducing buildings sector energy consumption with electrification and efficiency strategies,1,energy demand for urbanization,"Energy demand for urbanization refers to the total amount of energy required to support the growth and development of urban areas, including residential, commercial, and infrastructure needs.",Technology and Innovation Pathways for Zero-Carbon Ready Buildings by 2030,,https://www.iea.org/reports/technology-and-innovation-pathways-for-zero-carbon-ready-buildings-by-2030,IEA
6.4.2,,,,,2,green buildings,"Green buildings are structures designed, built, and operated to minimize their environmental impact, enhance energy efficiency, and promote the health and well-being of occupants.",Smart Electrification with Renewables,,https://www.irena.org/Publications/2022/Feb/Smart-Electrification-with-Renewables,IRENA
6.4.2,,,,,3,heating and cooling,"Heating and cooling refer to the processes of raising or lowering the temperature of a space to maintain comfort, typically using systems like furnaces, air conditioners, or heat pumps.",Efficient Grid-Interactive Buildings,,https://www.iea.org/reports/efficient-grid-interactive-buildings,IEA
6.4.3,Transforming Transport: Electrification and Inclusive Mobility  ,,,Transitioning to electric mobility for emission reduction and development benefits,1,battery recycling,"Battery recycling is the process of collecting, processing, and reusing materials from used batteries to recover valuable metals and reduce environmental impact.",The Road to Sustainable Transport,,https://www.iisd.org/articles/deep-dive/road-sustainable-transport,IISD
6.4.3,,,,,2,battery storage,"Battery storage refers to the use of batteries to store energy for later use, allowing for the management of energy supply and demand, particularly from renewable sources.",E-Mobility & Decentralized Renewable Energy Innovations in Emerging Economies,,https://www.ruralelec.org/publication/e-mobility-dre-innovations-in-emerging-economies/,Alliance for Rural Electrification
6.4.3,,,,,3,electric mobility,"Electric mobility refers to the use of electric-powered vehicles, such as electric cars, bikes, and scooters, for transportation, promoting sustainable and eco-friendly travel.","Intelligent Transport Systems (ITS) for Sustainable Mobility, Second Edition",,https://unece.org/transport/publications/intelligent-transport-systems-its-sustainable-mobility-second-edition-part,UNECE
7.1.1,Introduction to Energy Data,Foundational Concepts of Energy Data and Its Role in Sustainability and Equity,Data in Sustainable Energy,"This lesson breaks down the key qualities of energy data—like accuracy, reliability, and timeliness—and why they matter for making better decisions. It also looks at how data fits into the policy-making process, from spotting problems and setting goals to tracking progress and checking results. It shows how data can help shape energy policies that work for everyone.",1,data quality metrics,"Data quality metrics are standards or measures used to assess the accuracy, completeness, consistency, and reliability of data.",Demand Side Data and Energy Efficiency Indicators,,https://www.iea.org/reports/demand-side-data-and-energy-efficiency-endicators,IEA
7.1.1,,,,,2,data-driven decision making,Data-driven decision making is the process of making choices based on data analysis and interpretation rather than intuition or personal experience.,"Reference Data Series No. 1 â Energy, Electricity and Nuclear Power Estimates for the Period up to 2050",,https://www-pub.iaea.org/MTCD/Publications/PDF/RDS-1-36Web-28008110.pdf,International Atomic Energy Agency
7.1.1,,,,,3,Energy Data,"Energy data refers to the quantitative and qualitative information related to the production, consumption, distribution, and performance of energy systems. This encompasses metrics such as generation capacity, fuel consumption, efficiency, emissions, and cost indicators, all of which are critical for monitoring system performance, informing policy decisions, and optimizing energy operations.",Policies for Sustainable Energy & Energy Efficiency,,https://www.un-redd.org/sites/default/files/2021-10/UNDP-Catalysing-Climate%20Finance%20-%20May%202011.pdf,RMI
7.1.2,The Role of Data in Advancing Sustainable Energy And Equity,,,"This lesson highlights the critical role of data in advancing sustainable energy and equity, emphasizing its use to track progress, measure impacts, and address disparities. Key tools include UNDP’s Energy Moonshot Tracker for monitoring global energy access initiatives and the World Bank’s Multi-Tier Framework to assess energy equity beyond basic metrics. It underscores the need for transparent reporting and ethical data practices to ensure accountability, build trust, and inform policies that balance sustainability with social justice.",1,energy equity metrics,"Energy equity metrics are measures used to assess the fairness and accessibility of energy resources and services across different communities, ensuring that all populations have equal access to affordable, reliable, and sustainable energy.",Closing the energy access gap and transitioning to decarbonized energy systems,,https://www.unep.org/news-and-stories/speech/closing-energy-access-gap-and-transitioning-decarbonized-energy-systems,UNEP
7.1.2,,,,,2,ethical data practices,"Ethical data practices refer to the responsible and fair handling of data, ensuring privacy, consent, transparency, and accountability in data collection, usage, and sharing.",Advancing Green Hydrogen Production from Solar and Wind Power Sources and Potential Uses in Viet Nam,,https://www.undp.org/vietnam/press-releases/advancing-green-hydrogen-production-solar-and-wind-power-sources-and-potential-uses-viet-nam,UNDP
7.1.2,,,,,3,multi-tier frameworks,"Multi-tier frameworks are structured systems that organize processes or components into different levels or layers, each with specific roles and responsibilities, often used to enhance efficiency, scalability, and manageability in complex projects or systems.",Energy Sector Management Assistance Program (ESMAP) Annual Report 2023,,https://www.esmap.org/ESMAP_2023_Annual-Report,World Bank
7.1.3,The Energy Data Value Chain,,,This lesson delves deeper into the stages of the data value chain and explore the challenges faced by developing communities in leveraging data for sustainable energy development. This analysis highlights the critical role of data in bridging knowledge gaps and advancing equitable energy transitions.,1,data lifecycle,"The data lifecycle refers to the stages that data goes through from its initial creation and storage, through its use and sharing, to its eventual archiving or deletion.",Electricity 2025,,https://www.iea.org/reports/world-energy-investment-2023,RMI
7.1.3,,,,,2,data value chain,"The data value chain refers to the series of steps involved in collecting, processing, analyzing, and utilizing data to create value and inform decision-making.","Position Paper: Off-Grid Renewable Energies to Achieve SDG 7 and SDG 13 â Cheaper, Cleaner, and Smarter",,https://www.unescap.org/kp/2024/regional-trends-report-2024-energy-connectivity-sustainable-development-asia-and-pacific,UNEP
7.1.3,,,,,3,equitable data access,"Equitable data access refers to the fair and just availability of data to all individuals and communities, ensuring that everyone has the opportunity to access, use, and benefit from data resources, regardless of their socioeconomic status, location, or other barriers.",Energy Planning and Modelling Support in Africa,,https://www.iea.org/reports/world-energy-outlook-2022,Carbon Trust
7.2.1,Strategic Energy Planning at The Policy Level,"Approaches to Planning, Monitoring, and Evaluation in Sustainable Energy",,"This lesson highlights strategic energy planning as vital for balancing energy security, economic growth, and climate goals. It emphasizes holistic frameworks that integrate resource assessment, stakeholder engagement, and long-term objectives to align policies with sustainability. Key tools like energy system modeling enable adaptable, data-driven strategies, addressing socio-economic and environmental priorities. The focus is on dynamic planning processes that evolve with technological shifts and climate challenges, ensuring equitable, resilient pathways toward net-zero futures.",1,adaptive planning,"Adaptive planning is a flexible approach to planning that allows for adjustments and changes in response to new information, uncertainties, and evolving conditions, particularly in the context of environmental and sustainability challenges.",How Energy Modeling Works: The Uses and Limitations of Energy Modeling for Decarbonization Planning,,https://www.cesa.org/resource-library/resource/how-energy-modeling-works/,Clean Energy States Alliance
7.2.1,,,,,2,energy system modeling,"Energy system modeling is the process of creating mathematical representations of energy systems to analyze and predict their behavior, performance, and interactions under various scenarios.",Energy Modelling in the EU and China,,https://energy.ec.europa.eu/document/download/73d666b2-f6b4-4623-bc92-5981c3e73b56_en?filename=01%20-%20Energy%20Modelling%20in%20the%20EU%20and%20China.pdf,EU-China Energy Cooperation Platform
7.2.1,,,,,3,long-term energy objectives,"Long-term energy objectives are strategic goals set by governments, organizations, or communities aimed at achieving sustainable energy use, reducing carbon emissions, and transitioning to renewable energy sources over an extended period, typically spanning decades.",ECA Trains National Experts in Energy Modelling Tools,,https://www.uneca.org/stories/eca-trains-national-experts-in-energy-modelling-tools,ECA
7.2.2,"Fundamentals of Project Planning, Monitoring, and Evaluation",,,"This lesson highlights the fundamentals of project planning, monitoring, and evaluation (PM&E) as essential tools for advancing sustainable energy goals. Rooted in principles like local ownership, stakeholder inclusivity, and outcome-focused effectiveness, PM&E fosters transparency, accountability, and adaptability, ensuring energy projects deliver equitable, sustainable results through iterative learning and evidence-based decision-making.",1,evidence-based decision making,"Evidence-based decision making is the process of making choices based on the best available, well-researched evidence, rather than intuition or personal experience.",Utilising the Broad Application of Green Hydrogen,,https://www.iea.org/reports/tracking-clean-energy-progress-2023,UNDP
7.2.2,,,,,2,outcome-focused effectiveness,"Outcome-focused effectiveness refers to the evaluation of success based on the results or impacts achieved, rather than the processes or activities undertaken to achieve them.",Carbon Pricing and Monitoring in National Energy Strategies,,http://www.unece.org/index.php?id=40546,UNECE
7.2.2,,,,,3,stakeholder inclusivity,"Stakeholder inclusivity refers to the practice of actively involving all relevant parties, such as community members, employees, customers, and other affected groups, in decision-making processes to ensure diverse perspectives and interests are considered.",Accerlating the Energy Transition in Emerging Markets â Strategies for Unlocking Investment,,https://www.seforall.org/data-stories/seforall-analysis-of-sdg7-progress,IRENA
