Lesson,Resource #,Title,Description (60 words max),Link,Source
6.3.3,1,Financing for Sustainable Development Report 2022 - Bridging the Finance Divide,"Explanation of energy modeling, Importance of energy modeling in planning, Different types of energy models, Applications of energy modeling in policy and decision-making",https://sdgs.un.org/sites/default/files/2023-07/Achieving%20Universal%20Access%20by%202030%20and%20Net-Zero%20Emissions%20by%202050%20-%20A%20Global%20Roadmap%20for%20Just%20and%20Inclusive%20Clean%20Cooking%20Transition-072623.pdf?_gl=1*1rosjlz*_ga*MTMxMDE1ODkxMi4xNzIxMjA5NzY0*_ga_TK9BQL5X7Z*MTcyMjQzNTAwNS4yLjEuMTcyMjQzNTA3NS4wLjAuMA..,IEA
6.3.3,2,2023 Policy Briefs in Support of the High-Level Political Forum,"Global Electricity Demand Trends, Renewable Energy Growth, Electricity Security & Grid Resilience, Fossil Fuels vs. Clean Energy, Regional Electricity Market Analysis",https://www.irena.org/publications/2021/May/Decarbonising-end-use-sectors-green-hydrogen,IRENA
6.3.3,3,Regional trends report 2024 : energy connectivity for sustainable development in Asia and the Pacific,"Clean Energy Transition, Community Energy Projects, Government Support, Business Models",http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,International Atomic Energy Agency
6.4.1,1,Independent Evaluation of Green Climate Fund's Energy Sector Portfolio and Approach,"A key topic is sustainable energy, with an emphasis on advancements and gaps in achieving global energy goals. It assesses global and regional progress on the SDGs and highlights key trends and data.",https://www.iea.org/reports/securing-clean-energy-technology-supply-chains,UNCTAD
6.4.1,2,Towards a Circular Steel Industry,"Decarbonization, Circular Economy, Steel Industry Transformation",https://www.irena.org/Publications/2023/Jul/Towards-a-Circular-Steel-Industry,IRENA
6.4.1,3,Green Hydrogen for Industry,"Industrial decarbonization, hydrogen applications, policy and market trends",https://www.irena.org/Publications/2022/Mar/Green-Hydrogen-for-Industry,IRENA
6.4.2,1,Technology and Innovation Pathways for Zero-Carbon Ready Buildings by 2030,"Building decarbonization, energy-efficient buildings, net-zero",https://www.iea.org/reports/technology-and-innovation-pathways-for-zero-carbon-ready-buildings-by-2030,IEA
6.4.2,2,Smart Electrification with Renewables,"Renewable electrification, smart grids, digital energy solutions",https://www.irena.org/Publications/2022/Feb/Smart-Electrification-with-Renewables,IRENA
6.4.2,3,Efficient Grid-Interactive Buildings,"Smart Energy, Building Efficiency, Demand Response",https://www.iea.org/reports/efficient-grid-interactive-buildings,IEA
6.4.3,1,The Road to Sustainable Transport,"Sustainable Transport Solutions, Climate Change and Transport, Policy Pathways for Sustainable Mobility, Challenges and Opportunities in Transport Transition",https://www.iisd.org/articles/deep-dive/road-sustainable-transport,IISD
6.4.3,2,E-Mobility & Decentralized Renewable Energy Innovations in Emerging Economies,"E-Mobility, Renewable Energy, Sustainable Transport, Government Support",https://www.ruralelec.org/publication/e-mobility-dre-innovations-in-emerging-economies/,Alliance for Rural Electrification
6.4.3,3,"Intelligent Transport Systems (ITS) for Sustainable Mobility, Second Edition","Intelligent Transport Systems (ITS), Sustainable Mobility Solutions, Technology Integration in Transport,
Benefits and Challenges of ITS",https://unece.org/transport/publications/intelligent-transport-systems-its-sustainable-mobility-second-edition-part,UNECE
7.1.1,1,Demand Side Data and Energy Efficiency Indicators,"Energy efficiency, demand-side management, data collection, indicators",https://www.iea.org/reports/demand-side-data-and-energy-efficiency-endicators,IEA
7.1.1,2,"Reference Data Series No. 1 – Energy, Electricity and Nuclear Power Estimates for the Period up to 2050","Energy Forecasting, Electricity Generation, Nuclear Power, Global Energy Trends",https://www-pub.iaea.org/MTCD/Publications/PDF/RDS-1-36Web-28008110.pdf,International Atomic Energy Agency
7.1.1,3,Policies for Sustainable Energy & Energy Efficiency,"Transition to renewable energy sources, electrification of transport and heating, energy efficiency measures, and sector coupling.",https://www.un-redd.org/sites/default/files/2021-10/UNDP-Catalysing-Climate%20Finance%20-%20May%202011.pdf,RMI
7.1.2,1,Closing the energy access gap and transitioning to decarbonized energy systems,"Energy Dilemma, Closing the Energy Access Gap, Slowing Climate Change, Improving Health, Equity, and Prosperity",https://www.unep.org/news-and-stories/speech/closing-energy-access-gap-and-transitioning-decarbonized-energy-systems,UNEP
7.1.2,2,Advancing Green Hydrogen Production from Solar and Wind Power Sources and Potential Uses in Viet Nam,"Green hydrogen production, Integration of solar and wind power, Renewable energy potential in Vietnam, Sustainable energy transition.",https://www.undp.org/vietnam/press-releases/advancing-green-hydrogen-production-solar-and-wind-power-sources-and-potential-uses-viet-nam,UNDP
7.1.2,3,Energy Sector Management Assistance Program (ESMAP) Annual Report 2023,"Promotion of clean and sustainable energy solutions, advancements in renewable energy integration, energy access expansion, energy efficiency improvements, and the role of policy and finance in supporting energy transitions.",https://www.esmap.org/ESMAP_2023_Annual-Report,World Bank
7.1.3,1,Electricity 2025,"Explanation of energy modeling, Importance of energy modeling in planning, Different types of energy models, Applications of energy modeling in policy and decision-making",https://www.iea.org/reports/world-energy-investment-2023,RMI
7.1.3,2,"Position Paper: Off-Grid Renewable Energies to Achieve SDG 7 and SDG 13 – Cheaper, Cleaner, and Smarter","Energy transition, policy frameworks, clean energy, sustainable development",https://www.unescap.org/kp/2024/regional-trends-report-2024-energy-connectivity-sustainable-development-asia-and-pacific,UNEP
7.1.3,3,Energy Planning and Modelling Support in Africa,"Supply chain resilience, clean tech, energy security, policy frameworks",https://www.iea.org/reports/world-energy-outlook-2022,Carbon Trust
7.2.1,1,How Energy Modeling Works: The Uses and Limitations of Energy Modeling for Decarbonization Planning,"Energy modeling techniques, Role of energy modeling in policy and planning, Simulation of energy systems, Benefits of energy modeling in decision-making, Case studies and practical applications of energy modeling",https://www.cesa.org/resource-library/resource/how-energy-modeling-works/,Clean Energy States Alliance
7.2.1,2,Energy Modelling in the EU and China,"Energy Modeling Collaboration between the EU and China, 
Comparative Analysis of Energy Systems, Policy Development for Sustainable Energy, Scenario Analysis in Energy Planning",https://energy.ec.europa.eu/document/download/73d666b2-f6b4-4623-bc92-5981c3e73b56_en?filename=01%20-%20Energy%20Modelling%20in%20the%20EU%20and%20China.pdf,EU-China Energy Cooperation Platform
7.2.1,3,ECA Trains National Experts in Energy Modelling Tools,"Training of National Experts in Energy Modeling Tools, Capacity Building in Energy Planning, Sustainable Energy Development,
Application of Energy Modeling for Policy Making",https://www.uneca.org/stories/eca-trains-national-experts-in-energy-modelling-tools,ECA
7.2.2,1,Utilising the Broad Application of Green Hydrogen,"Heat pumps, renewable energy solutions, market analysis, energy efficiency",https://www.iea.org/reports/tracking-clean-energy-progress-2023,UNDP
7.2.2,2,Carbon Pricing and Monitoring in National Energy Strategies,"Carbon Pricing, Monitoring Frameworks, National Energy Strategies, Legal Frameworks, Government Incentives",http://www.unece.org/index.php?id=40546,UNECE
7.2.2,3,Accerlating the Energy Transition in Emerging Markets – Strategies for Unlocking Investment,"Climate Action, Digital Transformations, Green Economy
Environmental Monitoring and Management.",https://www.seforall.org/data-stories/seforall-analysis-of-sdg7-progress,IRENA
7.2.3,1,Trade and Development Report Update 2024,"Supply chain resilience, clean tech, energy security, policy frameworks",https://www.irena.org/Publications/2024/Jun/Tracking-SDG-7-The-Energy-Progress-Report-2024,Seimens Energy
7.2.3,2,Maximizing Socioeconomic Benefits Triggered by Renewables,"Socioeconomic Impact of Renewable Energy, Gender Equality, Off-Grid Energy, Economic Development",https://www.esmap.org/Maximizing_Socioeconomic_Benefits_Triggered_by_Renewables?title=&year=all&created=&created_1=&programs%5B1664%5D=1664&programs%5B1656%5D=1656&programs%5B15%5D=15&programs%5B1240%5D=1240&programs%5B1652%5D=1652&sort_by=field_published_on_value&sort_order=DESC,ESMAP
7.2.3,3,IPCC’s Sixth Assessment on Tackling Climate Change,"Coal-to-clean transition, power sector, decarbonization, energy policy",https://www.sciencedirect.com/science/article/abs/pii/S0360544224019340,RMI
7.3.1,1,Renewables 2023 Global Status Report,"Global renewable energy trends, renewable energy investment, energy transition, sustainable energy development, international energy cooperation, green finance",https://www.undp.org/namibia/stories/green-hydrogen-people-centred-approach-sustainable-development-namibia,IRENA
7.3.1,2,SEforALL Analysis of SDG7 Progress,"SDG7, energy access, progress tracking, sustainable development goals",https://www.seforall.org/data-stories/seforall-analysis-of-sdg7-progress,Sustainable Energy for All
7.3.1,3,The Sustainable Development Goals Report 2023: Special Edition,"Sustainable Energy for Development, Renewable Energy and Energy Efficiency, Energy Access and Poverty Reduction, Climate Change Mitigation and Adaptation, Strengthening Institutional Capacity and Policy Frameworks, Partnerships and Collaboration for ",https://www.iea.org/reports/energy-access-and-air-pollution,International Hydropower Association
7.3.2,1,ECA and Partners Train Experts on Energy Modelling Tools for Efficient Energy Systems,"Training on energy modeling tools, Development of efficient energy systems, Capacity building for energy experts, Collaboration among various stakeholders, Application of energy modeling for sustainable energy planning",https://www.uneca.org/stories/eca-and-partners-train-experts-on-energy-modelling-tools-for-efficient-energy-systems,ECA
7.3.2,2,Innovation Outlook: Renewable Ammonia,"Renewable ammonia, green hydrogen, industrial applications, energy transition",https://www.irena.org/Publications/2022/May/Innovation-Outlook-Renewable-Ammonia,IRENA
7.3.2,3,Renewable Energy Policy Network for the 21st Century (REN21) Renewables 2024 Global Status Report,"Debt Burdens in the Global South, Impact on Climate Goals,
Development Challenges, Policy Recommendations",https://www.weforum.org/agenda/2021/03/artificial-intelligence-is-key-to-grid-resilience/,Green Climate Fund
7.4.1,1,Global Trends in Renewable Energy Investment 2016,"Renewable energy, energy targets, global progress, policy frameworks",https://www.irena.org/Publications/2022/Sep/Scaling-up-renewables-in-landlocked-developing-countries,The Climate Investment Funds
7.4.1,2,Nuclear Energy for Net Zero: Accelerating Investment in Clean Energy Transitions,"Nuclear Energy, Clean Energy Transition, Net Zero Emissions, Decarbonization, Energy Investment, Climate Change Mitigation, Policy and Regulatory Frameworks, Sustainable Energy",https://www.iaea.org/publications/15664/nuclear-energy-for-net-zero-accelerating-investment-in-clean-energy-transitions,International Energy Agency
7.4.1,3,Tracking Public Investment in Energy Technology Research: A Roadmap,"Energy transition, security, resilience, infrastructure",https://www.uneca.org/stories/eca-trains-national-experts-in-energy-modelling-tools,ESMSP
7.4.2,1,Renewables 2022,"Renewable energy growth, market trends, policy insights",https://www.iea.org/reports/renewables-2022,IEA
7.4.2,2,Innovation Trends in Electrolysers for Hydrogen Production,"Electrolyser technology, hydrogen production, innovation trends",https://www.irena.org/Publications/2022/May/Innovation-Trends-in-Electrolysers-for-Hydrogen-Production,IRENA
7.4.2,3,Clean Aviation Highlights 2023: Towards Disruptive Technologies for Aircraft by 2035,"Disruptive Technologies in Aviation, Clean and Sustainable Aviation, Technological Innovations for Aircraft,
Future Trends in Aviation Technology",https://policycommons.net/artifacts/14524274/clean-aviation-highlights-2023-towards-disruptive-technologies-for-aircraft-by-2035/15424037/,Clean Aviation
8.1.1,1,How Digitally Automated Demand Could Transform the Way We Use Energy,"Renewable Energy, Coal Transition, Energy System, Demand Automation",https://www.carbontrust.com/en-eu/news-and-insights/insights/net-zero-in-conversation-how-digitally-automated-demand-could-transform-the-way-we-use-energy,Carbon Trust
8.1.1,2,Renewables 2023 Global Status Report Collection Energy Demand,"The report covers the current status of renewable energy, trends in global energy demand, advancements in renewable technologies, and the role of renewables in meeting future energy needs. It analyzes the global shift towards renewable energy and its",https://www.unep.org/resources/report/renewables-2023-global-status-report-collection-energy-demand,REN21
8.1.1,3,Digitalization: Accelerating the Electricity System Transformation.,"Energy transition, Artificial Intelligence, Digitalisation, Energy Efficiency",https://unece.org/sed/documents/2022/07/session-documents/digitalization-accelerating-electricity-system,UNECE
8.1.2,1,Financing Clean Energy in Africa,"Renewable energy, energy targets, global progress, policy frameworks",https://www.undp.org/stories/harnessing-power-hydrogen,IRENA
8.1.2,2,The Changing Role of Hydropower: Challenges and Opportunities,"Hydropower Modernization, Climate Adaptation, Energy Storage",https://www.irena.org/Publications/2023/Feb/The-changing-role-of-hydropower-Challenges-and-opportunities,IRENA
8.1.2,3,Electricity Market Report 2023,"Electricity markets, energy trends, renewable energy, grid integration",https://www.iea.org/reports/electricity-market-report-2023,IEA
8.1.3,1,Maximizing Socioeconomic Benefits Triggered by Renewables,"Capacity building in energy planning and modeling, Long-term energy planning strategies, Integration of renewable energy into national energy plans, Training and support for energy planners and policymakers, Development of energy transition strategie",http://www.unwomen.org/en/digital-library/publications/2013/5/guidance-note---sustainable-energy,IEA
8.1.3,2,Scaling Up Renewables in Landlocked Developing Countries,"Renewable energy deployment, policy frameworks, investment challenges",https://www.irena.org/Publications/2022/Sep/Scaling-up-renewables-in-landlocked-developing-countries,IRENA
8.1.3,3,The Value of Urgent Action on Energy Efficiency,"Energy Transition Progress, Policy and Regulation
Technological Innovation, Investment and Financing, Global and Regional Trends, Challenges and Opportunities.",https://www.carbontrust.com/en-eu/news-and-insights/insights/coal-transition-and-the-need-for-a-system-wide-approach,IEA
8.2.1,1,Renewable Energy Market Update June 2023,"Renewable energy growth, market trends, investment, policy developments",https://www.iea.org/reports/renewable-energy-market-update-june-2023,IEA
8.2.1,2,Potential Limitations of Marginal Pricing for a Power System Based on Renewables,"Electricity pricing, market mechanisms, renewable energy integration",https://www.irena.org/Technical-Papers/Potential-Limitations-of-Marginal-Pricing-for-a-Power-System-Based-on-Renewables,IRENA
8.2.1,3,Off-Grid Solar Market Trends Report 2022,"Legal Framework, Government Incentives, Off-Grid Solar Market, Renewable Energy Policy",https://www.esmap.org/Off-Grid_Solar_Market_Trends_Report_2022,ESMAP
8.2.2,1,Decarbonising End-Use Sectors: Insights and Trends 2023,"Transition to renewable energy sources, electrification of transport and heating, energy efficiency measures, and sector coupling.",https://www.irena.org/publications/2021/May/Decarbonising-end-use-sectors-green-hydrogen,IRENA
8.2.2,2,Explainer: How AI Helps Combat Climate Change,"Role of AI in Renewable Energy and Grid Resilience, AI for Energy Efficiency and Resource Management, Smart Grids and Energy Distribution Optimization, Challenges and Risks of AI in Energy Sectors.",https://news.un.org/en/story/2023/11/1143187,UN
8.2.2,3,The Potential of Hydrogen-based Solutions to Realize a Net-Zero Future Explored at 2021 UNDP Hydrogen Industry Conference,"Hydrogen-based solutions for net-zero future, Sustainable energy transition, Role of hydrogen in reducing carbon emissions, Innovation and technology in hydrogen development.","https://www.undp.org/china/press-releases/potential-hydrogen-based-solutions-realize-net-zero-future-explored-2021-undp-hydrogen-industry-conference#:~:text=UNDP's%20focus%20will%20be%20on,towards%20a%20net%2Dzero%20pathway.",UNDP
8.2.3,1,Independent Evaluation of Green Climate Fund's Energy Sector Portfolio and Approach,"Integration of AI in Energy Systems, Optimization of Renewable Energy, Enhancing Rrid Resilience, AI's Role in Climate Modeling and Prediction, Ethical Considerations and Regulations.",https://www.unido.org/fileadmin/user_media_upgrade/What_we_do/Topics/Energy_access/UNIDO_ENERGY_Branch_2015.pdf,UN Women
8.2.3,2,"The impact of clean energy consumption, green innovation, and technological diffusion on environmental sustainability: New evidence from load capacity curve hypothesis for 10 European Union countries","Sustainable energy transitions, technology innovation, literature review on advancements and challenges in sustainable energy, and the impact of technology on energy systems.",https://onlinelibrary.wiley.com/doi/abs/10.1002/sd.2794,Wiley
8.2.3,3,Trade and Development Report Update 2024,"Energy Access, Sustainable Development, Clean Energy Policies, Renewable Energy Financing",https://openknowledge.worldbank.org/entities/publication/4020f27e-341c-4883-a3ad-b603fc82cb48,UNEP
8.2.4,1,Critical Materials for the Energy Transition: Lithium,"Lithium supply chains, battery technologies, energy storage",https://www.irena.org/Technical-Papers/Critical-Materials-For-The-Energy-Transition-Lithium,IEA
8.2.4,2,Power Sector Implementation of a Country Coal-to-Clean Transition,"Coal-to-clean transition, power sector, decarbonization, energy policy",https://rmi.org/insight/power-sector-implementation-of-a-country-coal-to-clean-transition/,RMI
8.2.4,3,Global Energy Transformation Guide: Market Structures,"Energy markets, clean energy transition, regulatory frameworks, economic incentives",https://rmi.org/insight/global-energy-transformation-guide-market-structures/,RMI
8.3.1,1,ECA and Partners Train Experts on Energy Modelling Tools for Efficient Energy Systems,"Climate finance, Energy access","https://www.ren21.net/gsr-2024/#:~:text=RENEWABLES%20GLOBAL%20STATUS%20REPORT%202024%20COLLECTION&text=In%20addition%20to%20providing%20a,%2C%20industry%2C%20transport%20and%20agriculture.",IRENA
8.3.1,2,Implementing Clean Energy Transitions,"Smart Energy, Building Efficiency, Demand Response",https://www.iea.org/reports/security-of-clean-energy-transitions-2022,IEA
8.3.1,3,World Investment Report 2023: Investing in Sustainable Energy for All,"Debt Swaps, Environmental Benefits, Debt Relief Strategies,
Policy Implementation",https://www.iea.org/reports/energy-access-and-air-pollution,UNEP
8.3.2,1,Advancing Green Hydrogen Production from Solar and Wind Power Sources and Potential Uses in Viet Nam,"Energy affordability, economic policies, financing mechanisms, equitable transition",https://www.irena.org/Publications/2022/May/Innovation-Outlook-Renewable-Ammonia,Rocky Mountain Institute
8.3.2,2,UNEP 2023 Annual Report: Keeping the Promise,"Achievements and activities of UNEP in 2023, progress on environmental goals, sustainability initiatives, climate action, and global environmental challenges. Additionally, it discusses biodiversity and ecosystems conservation, pollution control meas",https://www.unep.org/annualreport/2023,UNEP
8.3.2,3,System Planning Test SPLAT Models for Africa,"Energy Sector Reform in East and South Asia, Cross-Country Comparisons of Energy Growth and Utility Performance in Asia, Insights on international benchmarks",https://www.iea.org/reports/guidebook-for-improved-electricity-access-statistics,Alliance for Rural Electrification
8.3.3,1,Green Public Procurement: Catalysing the Net Zero Economy,"Energy Access, Sustainable Development, Clean Energy Policies, Renewable Energy Financing",https://www.nrel.gov/news/program/2025/vast-federal-lands-have-potential-for-renewable-energy-but-only-a-small-fraction-is-needed.html,IRENA
8.3.3,2,World Energy Outlook 2022,"Energy policy, market trends, long-term forecasts, climate action",https://www.iea.org/reports/world-energy-outlook-2022,IEA
8.3.3,3,How Digital Technology and Innovation can Help Protect the Planet,"Renewable Energy, Coal Transition, Energy System, Demand Automation",https://unctad.org/publication/trade-and-development-report-update-april-2024,RMI
